Legacy Pro 100,510 Pyro (1+100),6,360,21C
Neopan 100 Acros,510 Pyro (1+100),6,360,21C
Pan F+,510 Pyro (1+100),6.5,390,21C
Adox CHM 125,510-Pyro (1+100),7,420,21C
Adox CHM 400,510-Pyro (1+100),6.5,390,21C
APX 100,510-Pyro (1+100),9,540,20C
Arista EDU Ultra 200,510-Pyro (1+100),6,360,21C
Arista II 100,510-Pyro (1+100),9,540,20C
Efke 100,510-Pyro (1+100),6,360,21C
Fomapan 200,510-Pyro (1+100),6,360,21C
FP4+,510-Pyro (1+100),7,420,21C
HP5+,510-Pyro (1+100),6.5,390,21C
Neopan 100 Acros,510-Pyro (1+100),7,420,21C
Pan F+,510-Pyro (1+100),8,480,20C
Rollei Retro 100,510-Pyro (1+100),9,540,20C
TMax 100,510-Pyro (1+100),7,420,21C
Tri-X 400,510-Pyro (1+100),7.5,450,21C
Arista EDU Ultra 200,510-Pyro (1+200),24,1440,21C
Fomapan 200,510-Pyro (1+200),24,1440,21C
Adox CHM 125,510-Pyro (1+500),50,3000,21C
FP4+,510-Pyro (1+500),50,3000,21C
Adox CHM 400,777 (stock),13,780,24C
Arista Premium 400,777 (stock),9.5,570,24C
HP5+,777 (stock),12.5,750,24C
Legacy Pro 400,777 (stock),11.5,690,24C
Neopan 400,777 (stock),11.5,690,24C
Tri-X 400,777 (stock),9.5,570,24C
Adox CHM 125,A03 (stock),6.5,390,20C
Adox CHM 400,A03 (stock),6.5,390,20C
APX 100,A03 (stock),5.5,330,20C
APX 400,A03 (stock),7.5,450,20C
Arista EDU Ultra 100,A03 (stock),8,480,20C
Arista EDU Ultra 200,A03 (stock),7.5,450,20C
Arista EDU Ultra 400,A03 (stock),8,480,20C
Arista II 400,A03 (stock),7.5,450,20C
Delta 100 Pro,A03 (stock),7,420,20C
Fomapan 100,A03 (stock),8,480,20C
Fomapan 200,A03 (stock),7.5,450,20C
Fomapan 400,A03 (stock),8,480,20C
Fortepan 100,A03 (stock),4.5,270,20C
Fortepan 200,A03 (stock),4.5,270,20C
Fortepan 400,A03 (stock),5.5,330,20C
FP4+,A03 (stock),6.5,390,20C
HP5+,A03 (stock),6.5,390,20C
Pan F+,A03 (stock),5,300,20C
Rollei Retro 100,A03 (stock),5.5,330,20C
Rollei Retro 400,A03 (stock),7.5,450,20C
TMax 100,A03 (stock),7,420,20C
TMax 400,A03 (stock),6.5,390,20C
TMax P3200,A03 (stock),6.5,390,20C
Adox CHS 100,ABC Pyro (stock),6,360,20C
Efke 100,ABC Pyro (stock),6,360,20C
Fomapan 400,Actuol (1+9),10.5,630,20C
Delta 100 Pro,ACU-1 (1+10),8,480,21C
Pan F+,ACU-1 (1+10),7,420,21C
Rollei RPX 100,ACU-1 (1+10),9,540,20C
TMax P3200,ACU-1 (1+10),18.75,1125,21C
HP5+,ACU-1 (1+5),10.5,630,21C
Legacy Pro 400,ACU-1 (1+5),5.75,345,20C
Neopan 1600,ACU-1 (1+5),5.75,345,21C
Neopan 400,ACU-1 (1+5),5.75,345,20C
Rollei Retro 400S,ACU-1 (1+5),18,1080,20C
Rollei Retro 400S,ACU-1 (1+5),18,1080,20C
Adox CHM 125,Acufine (stock),4,240,20C
Adox CHM 400,Acufine (stock),4.5,270,20C
Adox Pan 25,Acufine (stock),4,240,20C
Argenti Protopan 400,Acufine (stock),17,1020,20C
Arista EDU Ultra 100,Acufine (stock),3.5,210,20C
Arista EDU Ultra 200,Acufine (stock),3,180,20C
Arista EDU Ultra 400,Acufine (stock),6,360,20C
Delta 400 Pro,Acufine (stock),9,540,20C
Fomapan 100,Acufine (stock),3.5,210,20C
Fomapan 200,Acufine (stock),3,180,20C
Fomapan 400,Acufine (stock),6,360,20C
FP4+,Acufine (stock),4,240,20C
HP5+,Acufine (stock),4.5,270,20C
HP5+,Acufine (stock),7,420,21C
Ilford Pan 100,Acufine (stock),4,240,20C
Ilford Pan 400,Acufine (stock),5,300,20C
Legacy Pro 100,Acufine (stock),3,180,20C
Legacy Pro 400,Acufine (stock),3.25,195,20C
Neopan 100 Acros,Acufine (stock),3,180,20C
Neopan 1600,Acufine (stock),4,240,21C
Neopan 400,Acufine (stock),3.25,195,20C
Pan F+,Acufine (stock),3.5,210,20C
Polypan F,Acufine (stock),3.5,210,20C
Polypan F (ISO 100),Acufine (stock),5,300,20C
Rollei Retro 80S,Acufine (stock),4.5,270,20C
Rollei RPX 400,Acufine (stock),5,300,20C
SHD 100,Acufine (stock),3.5,210,20C
TMax 100,Acufine (stock),3.25,195,20.5C
TMax P3200,Acufine (stock),7.5,450,21C
Tri-X 400,Acufine (stock),3,180,20C
Ultrafine Plus 100,Acufine (stock),3.5,210,20C
Ultrafine Xtreme 400,Acufine (stock),4,240,20C
Tri-X 400,Aculux 2 (1+9),11,660,20C
Adox CHS 100,Aculux 3 (1+14),10,600,20C
Adox CHS 50,Aculux 3 (1+14),7.5,450,20C
Efke 100,Aculux 3 (1+14),10,600,20C
Efke 25,Aculux 3 (1+14),5.25,315,20C
Efke 50,Aculux 3 (1+14),7,420,20C
Delta 3200 Pro,Aculux 3 (1+5),13,780,20C
Adox CHM 125,Aculux 3 (1+9),6.5,390,20C
Adox CHM 400,Aculux 3 (1+9),11,660,20C
Adox CHS 100,Aculux 3 (1+9),8.5,510,20C
Adox CHS 25,Aculux 3 (1+9),6.5,390,20C
APX 100,Aculux 3 (1+9),8,480,20C
APX 400,Aculux 3 (1+9),9,540,20C
Arista EDU Ultra 100,Aculux 3 (1+9),9.5,570,20C
Arista EDU Ultra 200,Aculux 3 (1+9),8.5,510,20C
Arista II 100,Aculux 3 (1+9),8,480,20C
Arista II 400,Aculux 3 (1+9),9,540,20C
Arista Premium 400,Aculux 3 (1+9),9,540,20C
Delta 100 Pro,Aculux 3 (1+9),8,480,20C
Delta 400 Pro,Aculux 3 (1+9),11,660,20C
Efke 100,Aculux 3 (1+9),6.5,390,20C
Fomapan 100,Aculux 3 (1+9),9.5,570,20C
Fomapan 200,Aculux 3 (1+9),8.5,510,20C
Fomapan 400,Aculux 3 (1+9),13,780,20C
FP4+,Aculux 3 (1+9),6.5,390,20C
HP5+,Aculux 3 (1+9),11,660,20C
Kentmere 400,Aculux 3 (1+9),13,780,22C
Kentmere 400,Aculux 3 (1+9),15,900,20C
Legacy Pro 400,Aculux 3 (1+9),12,720,20C
Neopan 100ss,Aculux 3 (1+9),10,600,20C
Neopan 1600,Aculux 3 (1+9),12,720,20C
Neopan 400,Aculux 3 (1+9),12,720,20C
Pan F+,Aculux 3 (1+9),5.5,330,20C
Rollei Retro 100,Aculux 3 (1+9),8,480,20C
Rollei Retro 400,Aculux 3 (1+9),9,540,20C
SFX 200,Aculux 3 (1+9),11,660,20C
SHD 100,Aculux 3 (1+9),6,360,20C
TMax 100,Aculux 3 (1+9),9,540,20C
TMax 400,Aculux 3 (1+9),12,720,20C
TMax P3200,Aculux 3 (1+9),14,840,20C
Tri-X 400,Aculux 3 (1+9),11,660,20C
Ultrafine Xtreme 400,Aculux 3 (1+9),13,780,22C
Delta 400 Pro,Acurol-N (1+100),31,1860,20C
Pan F+,Acurol-N (1+100),27,1620,24C
TMax 100,Acurol-N (1+100),31,1860,20C
TMax 400,Acurol-N (1+100),31,1860,22C
Adox Silvermax (ISO 50),Acurol-N (1+50),10,600,20C
APX 100,Acurol-N (1+50),14.5,870,20C
Fomapan 100,Acurol-N (1+50),10,600,20C
Rollei Retro 100,Acurol-N (1+50),14.5,870,20C
Tri-X 400,Acurol-N (1+50),15,900,20C
Delta 100 Pro,Acurol-N (1+70),14.5,870,22C
Rollei Ortho 25,Acurol-N (1+70),11,660,20C
Delta 100 Pro,Acutol (1+10),8,480,20C
FP4+,Acutol (1+10),9,540,20C
Ilford Pan 100,Acutol (1+10),9,540,20C
Ilford Pan 400,Acutol (1+10),7,420,20C
Efke 100,Acutol (1+14),11,660,20C
Efke 25,Acutol (1+14),5,300,20C
Efke 50,Acutol (1+14),6,360,20C
Fortepan 200,Acutol (1+14),10,600,20C
FP4+,Acutol (1+14),6.75,405,20C
FP4+,Acutol (1+14),13,780,20C
TMax 100,Acutol (1+14),11,660,20C
TMax 400,Acutol (1+14),12,720,20C
Tri-X 400,Acutol (1+14),12,720,20C
Delta 3200 Pro,Acutol (1+31),120,7200,20C
APX 100,Acutol (1+9),8,480,20C
APX 400,Acutol (1+9),10,600,20C
Delta 100 Pro,Acutol (1+9),8,480,20C
Delta 400 Pro,Acutol (1+9),9,540,20C
Efke 100,Acutol (1+9),9,540,20C
Fomapan 100,Acutol (1+9),6.5,390,20C
Fomapan 200,Acutol (1+9),6.5,390,20C
FP4+,Acutol (1+9),6,360,20C
HP5+,Acutol (1+9),8,480,20C
Neopan 400,Acutol (1+9),8.5,510,20C
Pan F+,Acutol (1+9),5.5,330,20C
SFX 200,Acutol (1+9),9,540,20C
TMax 100,Acutol (1+9),8.5,510,20C
TMax 400,Acutol (1+9),9.5,570,20C
Tri-X 400,Acutol (1+9),9,540,20C
Legacy Pro 400,Adolux ADX (1+24),7,420,20C
Maco UP400p,Adolux ADX (1+24),6.5,390,20C
Neopan 400,Adorama (1+19),6,360,20C
Adox CMS 20,Adotech (1+24),5.5,330,20C
Bluefire Police (ISO 20),Adotech (1+24),5.5,330,20C
Adox CMS 20 II,Adotech II (1+29),10,600,24C
Adox CHM 400,ADX (1+24),6.5,390,20C
Adox CHS 25,ADX (1+24),3,180,20C
Efke 25,ADX (1+24),3,180,20C
HP5+,ADX (1+24),6.5,390,20C
Neopan 400,ADX (1+24),7,420,20C
TMax 100,ADX (1+24),6.5,390,20C
TMax 400,ADX (1+24),8,480,20C
Fomapan 200,Agfa 14 (1+1),17,1020,20C
Adox CHM 125,Amaloco AM20 (1+24),5,300,20C
Adox CHM 400,Amaloco AM20 (1+24),7.5,450,20C
APX 100,Amaloco AM20 (1+24),10,600,20C
APX 400,Amaloco AM20 (1+24),8.5,510,20C
Arista II 100,Amaloco AM20 (1+24),10,600,20C
Arista II 400,Amaloco AM20 (1+24),8.5,510,20C
Arista Premium 400,Amaloco AM20 (1+24),8.5,510,20C
Delta 100 Pro,Amaloco AM20 (1+24),6.5,390,20C
Delta 400 Pro,Amaloco AM20 (1+24),10.5,630,20C
FP4+,Amaloco AM20 (1+24),5,300,20C
HP5+,Amaloco AM20 (1+24),7.5,450,20C
Legacy Pro 100,Amaloco AM20 (1+24),7.25,435,20C
Legacy Pro 400,Amaloco AM20 (1+24),8.5,510,20C
Neopan 100 Acros,Amaloco AM20 (1+24),7.25,435,20C
Neopan 400,Amaloco AM20 (1+24),8.5,510,20C
Pan F+,Amaloco AM20 (1+24),3.75,225,20C
Rollei Retro 100,Amaloco AM20 (1+24),10,600,20C
Rollei Retro 400,Amaloco AM20 (1+24),8.5,510,20C
TMax 100,Amaloco AM20 (1+24),8,480,20C
TMax 400,Amaloco AM20 (1+24),9,540,20C
TMax P3200,Amaloco AM20 (1+24),15,900,20C
Tri-X 400,Amaloco AM20 (1+24),8.5,510,20C
Adox CHM 125,Amaloco AM50 (1+29),5,300,20C
Adox CHM 400,Amaloco AM50 (1+29),7.5,450,20C
Adox Pan 25,Amaloco AM50 (1+29),5,300,20C
APX 100,Amaloco AM50 (1+29),10,600,20C
APX 400,Amaloco AM50 (1+29),8.5,510,20C
Arista EDU Ultra 100,Amaloco AM50 (1+29),6,360,20C
Arista EDU Ultra 200,Amaloco AM50 (1+29),4,240,20C
Arista EDU Ultra 400,Amaloco AM50 (1+29),8,480,20C
Arista II 100,Amaloco AM50 (1+29),10,600,20C
Arista II 400,Amaloco AM50 (1+29),8.5,510,20C
Arista Premium 400,Amaloco AM50 (1+29),8.5,510,20C
Delta 100 Pro,Amaloco AM50 (1+29),6.5,390,20C
Delta 400 Pro,Amaloco AM50 (1+29),10.5,630,20C
Fomapan 100,Amaloco AM50 (1+29),6,360,20C
Fomapan 200,Amaloco AM50 (1+29),4,240,20C
Fomapan 400,Amaloco AM50 (1+29),8,480,20C
FP4+,Amaloco AM50 (1+29),5,300,20C
HP5+,Amaloco AM50 (1+29),7.5,450,20C
Legacy Pro 100,Amaloco AM50 (1+29),7,420,20C
Legacy Pro 400,Amaloco AM50 (1+29),8.5,510,20C
Neopan 100 Acros,Amaloco AM50 (1+29),7,420,20C
Neopan 400,Amaloco AM50 (1+29),8.5,510,20C
Pan F+,Amaloco AM50 (1+29),3.75,225,20C
Polypan F,Amaloco AM50 (1+29),7,420,20C
Rollei Pan 25,Amaloco AM50 (1+29),5,300,20C
Rollei Retro 100,Amaloco AM50 (1+29),10,600,20C
Rollei Retro 400,Amaloco AM50 (1+29),8.5,510,20C
TMax 100,Amaloco AM50 (1+29),8,480,20C
TMax 400,Amaloco AM50 (1+29),9,540,20C
TMax P3200,Amaloco AM50 (1+29),15,900,20C
Tri-X 400,Amaloco AM50 (1+29),8.5,510,20C
Adox CHS 100,Amaloco AM74 (1+15),7.5,450,20C
Adox CHS 100 II,Amaloco AM74 (1+15),7.5,450,20C
Efke 100,Amaloco AM74 (1+15),7.5,450,20C
Fomapan 100,Amaloco AM74 (1+15),6.5,390,20C
Fomapan 200,Amaloco AM74 (1+15),7.5,450,20C
FP4+,Amaloco AM74 (1+15),4.75,285,20C
Adox CHM 125,Amaloco AM74 (1+7),3,180,20C
Adox CHM 400,Amaloco AM74 (1+7),5,300,20C
APX 100,Amaloco AM74 (1+7),5,300,20C
APX 400,Amaloco AM74 (1+7),5,300,20C
Arista II 100,Amaloco AM74 (1+7),5,300,20C
Arista II 400,Amaloco AM74 (1+7),5,300,20C
Arista Premium 400,Amaloco AM74 (1+7),5,300,20C
Delta 100 Pro,Amaloco AM74 (1+7),4,240,20C
Delta 3200 Pro,Amaloco AM74 (1+7),10.5,630,20C
Delta 400 Pro,Amaloco AM74 (1+7),7.5,450,20C
FP4+,Amaloco AM74 (1+7),3,180,20C
HP5+,Amaloco AM74 (1+7),5,300,20C
Legacy Pro 100,Amaloco AM74 (1+7),4,240,20C
Legacy Pro 400,Amaloco AM74 (1+7),6,360,20C
Neopan 100 Acros,Amaloco AM74 (1+7),4,240,20C
Neopan 1600,Amaloco AM74 (1+7),6,360,20C
Neopan 400,Amaloco AM74 (1+7),6,360,20C
Pan F+,Amaloco AM74 (1+7),3,180,20C
Rollei Retro 100,Amaloco AM74 (1+7),5,300,20C
Rollei Retro 400,Amaloco AM74 (1+7),5,300,20C
SFX 200,Amaloco AM74 (1+7),8,480,20C
TMax 100,Amaloco AM74 (1+7),5,300,20C
TMax 400,Amaloco AM74 (1+7),5.5,330,20C
TMax 400,Amaloco AM74 (1+7),6,360,20C
TMax P3200,Amaloco AM74 (1+7),6.5,390,20C
Tri-X 400,Amaloco AM74 (1+7),5,300,20C
Argenti LSRF (ISO 50),Argenti D-74 (1+15),8,480,20C
Argenti Protopan 400,Argenti D-74 (1+15),5.5,330,20C
Polypan F (ISO 400),Arista A&B Litho (1A+1B),6,360,20C
Pan F+,Arista Liquid (1+14),5.5,330,20C
Arista Premium 400,Arista Liquid (1+19),11,660,24C
TMax 100,Arista Liquid (1+19),12,720,24C
TMax 400,Arista Liquid (1+19),12.5,750,24C
Tri-X 400,Arista Liquid (1+19),11,660,24C
Adox CHM 125,Arista Liquid (1+9),5,300,24C
Adox CHM 125,Arista Liquid (1+9),5.5,330,20C
Adox CHM 400,Arista Liquid (1+9),6,360,24C
Adox CHM 400,Arista Liquid (1+9),7,420,20C
APX 100,Arista Liquid (1+9),6.5,390,24C
APX 100,Arista Liquid (1+9),9,540,20C
APX 400,Arista Liquid (1+9),6,360,24C
APX 400,Arista Liquid (1+9),8,480,20C
Arista II 100,Arista Liquid (1+9),6.5,390,24C
Arista II 100,Arista Liquid (1+9),9,540,20C
Arista II 400,Arista Liquid (1+9),6,360,24C
Arista II 400,Arista Liquid (1+9),8,480,20C
Arista Premium 400,Arista Liquid (1+9),6,360,20C
Arista Premium 400,Arista Liquid (1+9),6.25,375,20C
Delta 100 Pro,Arista Liquid (1+9),7,420,20C
Delta 400 Pro,Arista Liquid (1+9),7.5,450,20C
FP4+,Arista Liquid (1+9),5,300,24C
FP4+,Arista Liquid (1+9),5.5,330,20C
HP5+,Arista Liquid (1+9),6,360,24C
HP5+,Arista Liquid (1+9),7,420,20C
Legacy Pro 100,Arista Liquid (1+9),7,420,20C
Legacy Pro 400,Arista Liquid (1+9),5.5,330,24C
Legacy Pro 400,Arista Liquid (1+9),6,360,20C
Neopan 100 Acros,Arista Liquid (1+9),7,420,20C
Neopan 400,Arista Liquid (1+9),5.5,330,24C
Neopan 400,Arista Liquid (1+9),6,360,20C
Rollei Retro 100,Arista Liquid (1+9),6.5,390,24C
Rollei Retro 100,Arista Liquid (1+9),9,540,20C
